stud,obs1,obs2
1,FLO,FLO
1,CON,FLO
1,BOR,FLO
1,BOR,FLO
1,FLO,FLO
1,BOR,FLO
1,CON,FLO
1,FLO,FLO
1,BOR,FLO
1,BOR,CON
1,BOR,FRU
1,DEL,DEL
1,SUR,DEL
2,FLO,FLO
2,FLO,FLO
2,FLO,FLO
2,FLO,FLO
2,FLO,N
2,FLO,FLO
2,FLO,FRU
2,FLO,FLO
2,FLO,FLO
2,FLO,FLO
2,FLO,FLO
2,CON,BOR
2,DEL,BOR
3,FLO,FLO
3,FLO,FLO
3,FLO,FLO
3,FLO,FLO
3,FLO,CON
3,FLO,FLO
3,FLO,FLO
3,FLO,FLO
3,FLO,FRU
3,CON,FLO
3,CON,FLO
3,CON,FLO
3,FLO,DEL
4,FLO,FLO
4,CON,FLO
4,FLO,FLO
4,FLO,FLO
4,FRU,FLO
4,DEL,FLO
4,FLO,FLO
4,FLO,FLO
4,DEL,FLO
4,SUR,FLO
4,FLO,FLO
4,DEL,DEL
4,SUR,DEL
5,FLO,FLO
5,FLO,FLO
5,FLO,FLO
5,FLO,FLO
5,FLO,FLO
5,FLO,DEL
5,FLO,DEL
5,FLO,FLO
5,FLO,FLO
5,CON,CON
5,FLO,FLO
5,CON,CON
5,FLO,FLO
6,FLO,FLO
6,FLO,FLO
6,FLO,FLO
6,FLO,FLO
6,FLO,FLO
6,FLO,FLO
6,FLO,FLO
6,FLO,FLO
6,CON,CON
6,FLO,FLO
6,DEL,DEL
6,FLO,FLO
6,DEL,DEL
7,FLO,FLO
7,CON,FLO
7,FLO,FLO
7,FLO,CON
7,FLO,FLO
7,FLO,FLO
7,CON,FLO
7,FLO,FLO
7,FLO,FLO
7,FLO,FLO
7,FLO,FLO
7,FLO,CON
7,FRU,FLO
8,FLO,FLO
8,FLO,FLO
8,FLO,FLO
8,FLO,FLO
8,FLO,FLO
8,FLO,FLO
8,FLO,FLO
8,FLO,FLO
8,FLO,FLO
8,FLO,FLO
8,DEL,DEL
8,FLO,DEL
8,FLO,FLO
9,CON,FLO
9,FRU,CON
9,FLO,FLO
9,FLO,FLO
9,FLO,FLO
9,FLO,FLO
9,FLO,FLO
9,CON,FLO
9,FRU,FLO
9,CON,FLO
9,FLO,FLO
9,FRU,BOR
9,CON,CON
10,FLO,FLO
10,FLO,FLO
10,FLO,FLO
10,FLO,FLO
10,FLO,FLO
10,FLO,FLO
10,FLO,FLO
10,FLO,BOR
10,FLO,FLO
10,FLO,DEL
10,FLO,FLO
10,FLO,DEL
10,FLO,FLO
